ToPad;Continent;Country;Gender;Month;Number of Records;Sub type;Padded;Total;Type of Moving;viz
49;Asia;Brunai;Female;April;1;First time for travelling;49;5;By themselves;Region
49;Asia;Cambodia;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Asia;Hongkong;Female;April;1;First time for travelling;49;39;By themselves;Region
49;Asia;Indonesia;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Asia;Isarel;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Asia;Japan;Female;April;1;First time for travelling;49;6;By themselves;Region
49;Asia;Kuweit;Female;April;1;First time for travelling;49;3;By themselves;Region
49;Asia;Laos;Female;April;1;First time for travelling;49;1;By themselves;Region
49;Asia;Libea;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Asia;Malaysia;Female;April;1;First time for travelling;49;10;By themselves;Region
49;Asia;Myanmar;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Asia;Oman;Female;April;1;First time for travelling;49;1;By themselves;Region
49;Asia;Other countries in Asia;Female;April;1;First time for travelling;49;3;By themselves;Region
49;Asia;Other countries in Middle East;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Asia;Philippines;Female;April;1;First time for travelling;49;1;By themselves;Region
49;Asia;Quata;Female;April;1;First time for travelling;49;4;By themselves;Region
49;Asia;Saudi Arabia;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Asia;Singapore;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Asia;South Korea;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Asia;Sudan;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Asia;Taiwan;Female;April;1;First time for travelling;49;4;By themselves;Region
49;Asia;Turkey;Female;April;1;First time for travelling;49;8;By themselves;Region
49;Asia;United Arab Emirate;Female;April;1;First time for travelling;49;17;By themselves;Region
49;Asia;Vietnam;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Asia;Brunai;Female;August;1;First time for travelling;49;11;By themselves;Region
49;Asia;Cambodia;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Asia;Hongkong;Female;August;1;First time for travelling;49;77;By themselves;Region
49;Asia;Indonesia;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Asia;Isarel;Female;August;1;First time for travelling;49;1;By themselves;Region
49;Asia;Japan;Female;August;1;First time for travelling;49;9;By themselves;Region
49;Asia;Kuweit;Female;August;1;First time for travelling;49;3;By themselves;Region
49;Asia;Laos;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Asia;Libea;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Asia;Malaysia;Female;August;1;First time for travelling;49;7;By themselves;Region
49;Asia;Myanmar;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Asia;Oman;Female;August;1;First time for travelling;49;4;By themselves;Region
49;Asia;Other countries in Asia;Female;August;1;First time for travelling;49;8;By themselves;Region
49;Asia;Other countries in Middle East;Female;August;1;First time for travelling;49;1;By themselves;Region
49;Asia;Philippines;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Asia;Quata;Female;August;1;First time for travelling;49;2;By themselves;Region
49;Asia;Saudi Arabia;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Asia;Singapore;Female;August;1;First time for travelling;49;2;By themselves;Region
49;Asia;South Korea;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Asia;Sudan;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Asia;Taiwan;Female;August;1;First time for travelling;49;8;By themselves;Region
49;Asia;Turkey;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Asia;United Arab Emirate;Female;August;1;First time for travelling;49;10;By themselves;Region
49;Asia;Vietnam;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Asia;Brunai;Female;December;1;First time for travelling;49;6;By themselves;Region
49;Asia;Cambodia;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Asia;Hongkong;Female;December;1;First time for travelling;49;45;By themselves;Region
49;Asia;Indonesia;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Asia;Isarel;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Asia;Japan;Female;December;1;First time for travelling;49;9;By themselves;Region
49;Asia;Kuweit;Female;December;1;First time for travelling;49;2;By themselves;Region
49;Asia;Laos;Female;December;1;First time for travelling;49;1;By themselves;Region
49;Asia;Libea;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Asia;Malaysia;Female;December;1;First time for travelling;49;8;By themselves;Region
49;Asia;Myanmar;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Asia;Oman;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Asia;Other countries in Asia;Female;December;1;First time for travelling;49;1;By themselves;Region
49;Asia;Other countries in Middle East;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Asia;Philippines;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Asia;Quata;Female;December;1;First time for travelling;49;8;By themselves;Region
49;Asia;Saudi Arabia;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Asia;Singapore;Female;December;1;First time for travelling;49;1;By themselves;Region
49;Asia;South Korea;Female;December;1;First time for travelling;49;4;By themselves;Region
49;Asia;Sudan;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Asia;Taiwan;Female;December;1;First time for travelling;49;3;By themselves;Region
49;Asia;Turkey;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Asia;United Arab Emirate;Female;December;1;First time for travelling;49;6;By themselves;Region
49;Asia;Vietnam;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Asia;Brunai;Female;February;1;First time for travelling;49;5;By themselves;Region
49;Asia;Cambodia;Female;February;1;First time for travelling;49;1;By themselves;Region
49;Asia;Hongkong;Female;February;1;First time for travelling;49;41;By themselves;Region
49;Asia;Indonesia;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Isarel;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Japan;Female;February;1;First time for travelling;49;16;By themselves;Region
49;Asia;Kuweit;Female;February;1;First time for travelling;49;2;By themselves;Region
49;Asia;Laos;Female;February;1;First time for travelling;49;1;By themselves;Region
49;Asia;Libea;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Malaysia;Female;February;1;First time for travelling;49;2;By themselves;Region
49;Asia;Myanmar;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Oman;Female;February;1;First time for travelling;49;1;By themselves;Region
49;Asia;Other countries in Asia;Female;February;1;First time for travelling;49;2;By themselves;Region
49;Asia;Other countries in Middle East;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Philippines;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Quata;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Saudi Arabia;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Singapore;Female;February;1;First time for travelling;49;1;By themselves;Region
49;Asia;South Korea;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Sudan;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Taiwan;Female;February;1;First time for travelling;49;8;By themselves;Region
49;Asia;Turkey;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;United Arab Emirate;Female;February;1;First time for travelling;49;15;By themselves;Region
49;Asia;Vietnam;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Brunai;Female;January;1;First time for travelling;49;5;By themselves;Region
49;Asia;Cambodia;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Hongkong;Female;January;1;First time for travelling;49;40;By themselves;Region
49;Asia;Indonesia;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Isarel;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Japan;Female;January;1;First time for travelling;49;8;By themselves;Region
49;Asia;Kuweit;Female;January;1;First time for travelling;49;6;By themselves;Region
49;Asia;Laos;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Libea;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Malaysia;Female;January;1;First time for travelling;49;3;By themselves;Region
49;Asia;Myanmar;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Oman;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Other countries in Asia;Female;January;1;First time for travelling;49;4;By themselves;Region
49;Asia;Other countries in Middle East;Female;January;1;First time for travelling;49;2;By themselves;Region
49;Asia;Philippines;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Quata;Female;January;1;First time for travelling;49;1;By themselves;Region
